,equity
2023-10-17,35695.53680562543
2023-10-18,35695.53680562543
2023-10-19,35744.200584369966
2023-10-20,35801.69976729402
2023-10-23,35716.55340378132
2023-10-24,35710.189024716514
2023-10-25,35765.48948407794
2023-10-26,35829.09526383753
2023-10-27,36048.48719445989
2023-10-30,35912.29392750403
2023-10-31,35817.2054638133
2023-11-01,35943.696533922135
2023-11-02,36059.25136693308
2023-11-03,36228.17495157427
2023-11-06,36215.28259405822
2023-11-07,36309.6176570555
2023-11-08,36275.62145864826
2023-11-09,36222.32657433897
2023-11-10,36394.19180471911
2023-11-13,36264.17866723421
2023-11-14,36834.4456026889
2023-11-15,36675.19825083612
2023-11-16,37063.1432941199
2023-11-17,36809.63794716586
2023-11-20,37276.87590490657
2023-11-21,37011.92506189584
2023-11-22,37243.16469873338
2023-11-24,37127.96838759309
2023-11-27,37134.74136686513
2023-11-28,37312.2728273395
2023-11-29,37204.564815197904
2023-11-30,37192.2942732319
2023-12-01,37130.72003415054
2023-12-04,36567.177079904926
2023-12-05,36696.473712803265
2023-12-06,36533.1035246155
2023-12-07,36750.83110765785
2023-12-08,36787.257024649276
2023-12-11,36633.46147846962
2023-12-12,36885.07676801694
2023-12-13,37185.53322862167
2023-12-14,36921.43791791219
2023-12-15,37088.22799903805
2023-12-18,37426.33877651901
2023-12-19,37382.761102031596
2023-12-20,36801.462691435525
2023-12-21,37217.74156438601
2023-12-22,37228.27539271434
2023-12-26,37378.06406499738
2023-12-27,37395.787745953356
2023-12-28,37468.83804629842
2023-12-29,37459.07960002951
2024-01-02,36793.50382247424
2024-01-03,36557.08794161365
2024-01-04,36339.30447813063
2024-01-05,36342.76116538992
2024-01-08,36684.43059541586
2024-01-09,36577.93447384366
2024-01-10,36748.09047160699
2024-01-11,36831.26047693331
2024-01-12,36906.94916597981
2024-01-16,37191.91460310675
2024-01-17,37075.78100494819
2024-01-18,37430.30012389842
2024-01-19,38213.66732730559
2024-01-22,38212.28514080475
2024-01-23,38369.18818066572
2024-01-24,38838.45595039652
2024-01-25,39009.569300233896
2024-01-26,38733.97725599895
2024-01-29,39226.56808531586
2024-01-30,39159.53668258827
2024-01-31,38474.920207943316
2024-02-01,39104.627121403995
2024-02-02,40103.79732520379
2024-02-05,40730.07718724818
2024-02-06,40431.46129796196
2024-02-07,41120.138013115466
2024-02-08,41130.61735323154
2024-02-09,41901.366222475015
2024-02-12,41752.39877301134
2024-02-13,41356.809266564385
2024-02-14,42045.849567545236
2024-02-15,41835.485149607535
2024-02-16,41583.18943691205
2024-02-20,40826.70026874498
2024-02-21,40400.727611678354
