date,champion_trend_following_v4,adaptive_ensemble,defensive_growth,factor_rotation,risk_parity,dynamic_champion_switcher_weights,etf_only_robust_portfolio,gtaa_dual_momentum_weights,blended_champion_weights_alpha_1.0,blended_champion_weights_alpha_0.9,blended_champion_weights_alpha_0.8,blended_champion_weights_alpha_0.7,blended_champion_weights_alpha_0.6,blended_champion_weights_alpha_0.5
2012-03-08,11488.213097600714,11877.317462788631,11309.917111104663,12331.832161107375,12058.269187645908,11789.556337813327,12019.718720585983,12589.628418113956,12327.888199728779,12818.149124266165,12891.981790872158,12823.503613934658,12730.508564065962,12554.734878971713
2012-03-09,11549.049681268889,11926.106340297098,11327.464487935738,12411.249379423352,12086.602878961528,11850.939364358628,12064.918560505213,12678.577521754347,12393.171337806301,12884.505892945257,12957.189426951869,12886.841673232317,12791.875132714807,12613.762853230022
2012-03-12,11569.699820276997,11956.902565575905,11370.934821782506,12407.469762093906,12096.318310729748,11888.333227604822,12058.481994565356,12672.923467698447,12415.330798362791,12908.607555519484,12982.492313080269,12913.060140164152,12818.934944656115,12641.43418441421
2012-03-13,11801.813053368038,12183.442404634992,11543.976932899503,12639.60386425735,12187.35299839572,12127.745780760233,12211.583292662617,12911.408849408794,12664.40922012549,13166.141833978372,13240.052048379495,13167.80157012425,13070.389189258958,12887.996069523055
2012-03-14,11807.662449492831,12243.402242760207,11638.095384422655,12623.943047873434,12147.378376534258,12150.882680111159,12201.137731335315,12888.12011106413,12670.686149431183,13178.494490628991,13258.333810595737,13191.811354907348,13100.006028002002,12922.903564293123
2012-03-15,11897.100923861235,12287.895713361546,11643.255595500694,12691.945797839555,12184.913648083364,12229.22002434966,12234.251003670353,12960.554057796458,12766.661694400686,13273.123454446633,13348.311571579114,13276.139380440576,13178.585088164064,12995.327976918703
2012-03-16,11895.423739212902,12273.37407497281,11634.733998520513,12692.715476707994,12198.011089370839,12228.879798539652,12228.984170946622,12960.049674051616,12764.861924091821,13269.870806441755,13343.651193043002,13270.122406288096,13171.240687296933,12986.733138482788
2012-03-19,11958.612366846208,12337.881217115024,11707.912234936617,12771.512732736373,12208.731003091327,12299.988290218886,12259.639929327597,13043.43191507594,12832.669017356864,13340.330672107368,13414.472808556162,13340.523925583158,13241.087994051131,13055.540902531837
2012-03-20,11928.502533480572,12321.639963907503,11717.864378297803,12736.400168811093,12179.904878268073,12266.330606556201,12250.087716325335,13001.068356810323,12800.358452059152,13308.344690041953,13383.920756904135,13311.743111371477,13214.112571419844,13030.512061868903
2012-03-21,11925.930296691502,12315.115192702306,11712.96251830105,12728.31046646837,12182.928392126347,12269.025975669561,12251.7512726114,12993.486202838132,12797.5982101234,13305.057158497715,13380.19443509547,13307.619029885993,13209.603946035937,13025.657053180394
2012-03-22,11882.757267232137,12285.87861043368,11706.77410601703,12652.283431084887,12144.097139929854,12232.705037619611,12211.00551134001,12912.339381858801,12751.269657902358,13258.549441294352,13335.091324541583,13264.418767821491,13168.367860243688,12986.618260743266
2012-03-23,11894.567689035906,12290.688608151366,11695.897876474102,12696.74551204277,12175.500986139823,12238.150242612617,12231.847602592745,12964.328550887647,12763.943305087658,13270.92857677702,13346.738610645161,13275.205269274858,13178.282983136545,12995.614213122819
2012-03-26,12131.534379655714,12496.859143487904,11837.73170714543,12912.656384020942,12277.543557014036,12487.92585042449,12384.165673313275,13189.54143926692,13018.229924268737,13531.154113029896,13604.254870983299,13527.168018842109,13424.263298358044,13234.099480996396
2012-03-27,12124.425848126653,12510.098588612138,11871.91638587801,12881.149961923058,12275.082430428394,12498.85691561702,12377.123673178201,13152.686323697942,13010.601829175966,13525.451852044527,13600.760216438488,13525.918894997327,13425.232473889831,13237.232435350303
2012-03-28,12085.144887734396,12480.462647233826,11863.281847307651,12819.026640441518,12231.98058181316,12491.28105652765,12319.143245056679,13088.201262424513,12968.449817894521,13482.809695101576,13559.06506639051,13485.631098675129,13386.41372655318,13200.110061778294
2012-03-29,12032.483296187786,12427.115621068411,11814.257783085273,12783.470235567898,12220.811698998588,12432.461711222537,12305.558004120934,13051.504861841255,12911.939183256138,13424.16976099277,13500.206161388229,13427.203036646473,13328.526782282006,13143.138450205197
2012-03-30,11996.11637895905,12388.547674397705,11751.168709836578,12784.274329323047,12235.68348555575,12395.419337965966,12319.012020094333,13047.765578228982,12872.914202960612,13383.48769833297,13459.184133592364,13386.293893931525,13287.810136845106,13102.881499212226
2012-04-02,12119.695372153868,12524.431988143113,11874.6910376878,12907.291059546691,12301.253035305053,12508.281985014575,12400.363661449861,13159.867797704237,13005.525602052692,13522.547770917326,13600.226406763297,13527.540357789945,13428.968399776804,13243.012962438277
2012-04-03,12076.125508849549,12515.64598923112,11897.138370208218,12864.493473089953,12254.196519462039,12480.328452704929,12366.928972998916,13112.976783808368,12958.771211345464,13477.847392417554,13559.204416389775,13490.651741005155,13396.234192838217,13214.563842995916
