,equity
2019-10-14,19623.94042094208
2019-10-15,19867.954749515473
2019-10-16,19786.24340453901
2019-10-17,19796.936797058905
2019-10-18,19668.849969374805
2019-10-21,19818.294310076442
2019-10-22,19796.597874985226
2019-10-23,19849.39610393361
2019-10-24,19926.53466291238
2019-10-25,20124.7202420903
2019-10-28,20259.56222022708
2019-10-29,20045.75245211487
2019-10-30,20109.685183055324
2019-10-31,20170.16433073279
2019-11-01,20390.42416851912
2019-11-04,20580.036106071602
2019-11-05,20508.066008635167
2019-11-06,20489.06036787043
2019-11-07,20565.203857028242
2019-11-08,20595.984757026752
2019-11-11,20596.43793741324
2019-11-12,20639.49180424047
2019-11-13,20646.895983834107
2019-11-14,20665.94194580006
2019-11-15,20643.847778354546
2019-11-18,20839.314342197584
2019-11-19,20771.998243960716
2019-11-20,20749.67496780508
2019-11-21,20680.911591654865
2019-11-22,20735.911845831215
2019-11-25,21046.983946938402
2019-11-26,20970.225686448404
2019-11-27,21078.666435798557
2019-11-29,21028.01798471695
2019-12-02,20769.609161281114
2019-12-03,20594.002359281214
2019-12-04,20734.60632665863
2019-12-05,20813.642421521155
2019-12-06,21037.320427223265
2019-12-09,20944.869160045884
2019-12-10,20991.05466980022
2019-12-11,21122.26860759043
2019-12-12,21304.38501023561
2019-12-13,21413.634151306047
2019-12-16,21557.359148147043
2019-12-17,21594.18963001333
2019-12-18,21596.46478620263
2019-12-19,21769.71373461865
2019-12-20,21908.32806440956
2019-12-23,21956.60877617531
2019-12-24,21980.45347075164
2019-12-26,22141.444058740544
2019-12-27,22116.406728890033
2019-12-30,22005.910603317625
2019-12-31,22106.26041387969
2020-01-02,22392.981866523944
2020-01-03,22251.7317720074
2020-01-06,22344.633039816
2020-01-07,22326.615770717646
2020-01-08,22473.97275009697
2020-01-09,22689.77819969204
2020-01-10,22708.12724108533
2020-01-13,23020.190884709576
2020-01-14,22844.433277674074
2020-01-15,22842.426159502116
2020-01-16,23075.113694133062
2020-01-17,23196.916061099946
2020-01-21,23132.09769373878
2020-01-22,23173.836256033683
2020-01-23,23283.23134105875
2020-01-24,23163.459940472057
2020-01-27,22653.979063454615
2020-01-28,23055.52144344706
2020-01-29,23118.306386285618
2020-01-30,23202.176733389035
2020-01-31,22602.945307572078
2020-02-03,22778.42205581475
2020-02-04,23210.866339274904
2020-02-05,23342.60885626675
2020-02-06,23571.559527496338
2020-02-07,23456.248198385427
2020-02-10,23832.591660727754
2020-02-11,23784.68294713997
2020-02-12,23985.500950998998
2020-02-13,23933.479549566113
2020-02-14,24321.906372887526
2020-02-18,24417.34480074346
2020-02-19,24800.372199742924
2020-02-20,24589.853534368234
2020-02-21,24129.033763600408
2020-02-24,23308.062259464612
2020-02-25,22742.114912064884
2020-02-26,22944.456322257563
2020-02-27,21925.78791886883
