ticker,strategy,sector,gross_pnl_contribution,cost_contribution,net_pnl_contribution,pct_of_total_net_pnl,average_weight,max_weight,holding_periods
BAC,S6_ENSEMBLE_COMPOSITE_RANKER,FIN,0.06210605,0.01776667,0.04433938,3.2079,0.189194,0.25,856
COST,S6_ENSEMBLE_COMPOSITE_RANKER,STAPLES,-0.00434936,0.00376667,-0.00811603,-0.5872,0.101541,0.2,119
CVX,S6_ENSEMBLE_COMPOSITE_RANKER,ENERGY,0.02877018,0.00366667,0.02510351,1.8162,0.103266,0.2,199
GOOGL,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,0.03711298,0.00334921,0.03376377,2.4428,0.068,0.2,347
JPM,S6_ENSEMBLE_COMPOSITE_RANKER,FIN,0.02994562,0.00423333,0.02571229,1.8603,0.164881,0.25,84
LLY,S6_ENSEMBLE_COMPOSITE_RANKER,HEALTH,0.09812474,0.01346667,0.08465807,6.125,0.189031,0.25,547
META,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,0.06570693,0.00510952,0.0605974,4.3842,0.058622,0.25,558
MSFT,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,0.00714236,0.00153651,0.00560585,0.4056,0.052996,0.1,160
NVDA,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,0.35505682,0.00964365,0.34541317,24.9904,0.068647,0.25,2046
UNH,S6_ENSEMBLE_COMPOSITE_RANKER,HEALTH,0.00415208,0.00263333,0.00151875,0.1099,0.193192,0.25,71
WMT,S6_ENSEMBLE_COMPOSITE_RANKER,STAPLES,0.11990159,0.01413333,0.10576825,7.6523,0.182482,0.25,822
XOM,S6_ENSEMBLE_COMPOSITE_RANKER,ENERGY,0.15098399,0.00866667,0.14231733,10.2966,0.16868,0.25,538
